Mandatory/Elective,Course Name ,Course Code,Instructor,Credits,Acronym,Monday Time$Venue,Tuesday Time$Venue,Wednesday Time$Venue,Thursday Time$Venue,Friday Time$Venue,Tut Day$Time$Venue,Lab Day$Time$Venue,Pre-conditions,Post-conditions
Mandatory,Discrete Mathematics,CSE121,Dhongoon Chang,4,DM,,1:30-3:00$C21,,,11:30-1:00$C21,Wednesday $4:00-5:30$S01 : Friday $4:00-5:30$LR1;LR2;LR3 :,,"A good knowledge of elementary mathematics, esp. algebra, calculus and basic programming language. ","Be able to read, interpret and write some basic mathematical notation(s).
be able to recognize and/or construct examples of mathematical objects introduced during the course, such as the sets and functions.
have been introduced to several mathematical models, (e.g. propositional logic, trees) including some of those underlying computing and information technology
have had the opportunity to develop capacity in knowing what constitutes a valid argument, and in constructing valid arguments/proofs
have had an opportunity to develop the problem-solving skills"
Mandatory,Advanced Programming,CSE201,Vivek Kumar,4,AP,11:00-12:00$C21,,11:00-12:00$C21,11:00-12:00$C21,,Monday  $12:00-1:00$LR1;LR2;S01;S02 :,Thursday : $12:00-1:00$L21;L22;L23,"Introduction to Programming (CSE101)
Data Structures & Algorithms (CSE102)","Students are able to demonstrate the knowledge of basic principles of Object Oriented Programming such as encapsulation (classes and objects), interfaces, polymorphism and inheritance; by implementing programs ranging over few hundreds lines of code.
Implement basic event driven programming, exception handling, and threading. 
Students are able to analyze the problem in terms of use cases and create object oriented design for it. Students are able to present the design in UML.
Students are able to select and use a few key design pattern to solve a given problem in hand.
Students are able to use common tools for testing (e.g., JUnit), debugging, and source code control as an integral part of program development."
Mandatory,Computer Organization,CSE112,Naveen Prakash ,4,CO,,,2:30-4:00$C21,4:00-5:30$C01,,Wednesday  $1:30-2:30$LR2;LR3;C22;C23 :,,"Introduction to Programming (CSE101)
Digital Circuits(CSE111)","Write program in assembly language(RISC ISA) - Compare performance between several implementations of a computer program.
Analyse processor performance for different implementation strategies : eg. single vs. multicycle,pipelined vs. non-pipelined execution.
Simulate and compare performance of cache memory,compare caches with different configuration.
Analyse basic I/O operation and their performance."
Elective,Math-III,MTH203,Sarthok Sircar,4,M-III,,3:00-4:00$C21,,3:00-4:00$C21,3:00-4:00$C21,Monday $2:00-3:00$C23 : Monday $1:30-3:00$LR1 :,,,"Students are able to apply concepts of continuity, differentiability, extrema and integrability of multivariable functions and evaluate various integrals (line, double, triple and surface integrals).Students are able to work with vector fields, evaluate line
and surface integrals, calculate quantities such as work,circulation and flux across plane curves and surfaces, be able to carry out vector derivative operations such as gradient, divergence and curl and understand and apply Green's, Stoke's and divergence  theorems.Students are able to evaluate
derivatives and integrals of complex functions, including the applications of Cauchy’s theorem.Students are able to determine convergence of complex series and power series and understand and apply Taylor series to represent complex
functions.
"
Elective,Signal & Systems,ECE250,Anubha Gupta,4,S&S,,11:00-12:00$C21,,2:00-3:00$C21,2:00-3:00$C21,Monday  $2:00-3:00$LR3 :,,MTH100 Maths I,"Students are able to classify basic signal representation; continuous time and discrete-time signals
Students are able to determine the response of an LTI system to continuous-time or discrete-time input signals.
Students are able to represent both continuous-time and discrete-time periodic signals as Fourier series.
 Students are able to analyze continuous-time signals and systems using Fourier transform and Laplace transform.
Students are able to analyze discrete-time signals and systems using discrete-time Fourier transform and Z-transform."
Elective,Real Analysis I,MTH2xx,Samaresh Chatterjee,4,RA,3:00-4:00$C02,10:00-11:00$C02,,10:00-11:00$C02,,Monday $1:30-3:00$LR2 :,,,"Students are familiar with the real number system, can determine convergence-divergence of sequences and series, and are able to construct epsilon-delta proofs related to limits and continuity.
Students are familiar with the concepts of differentiation and integration and are able to apply the methods of single-variable calculus. 
Students are able to apply concepts of continuity, differentiability, extrema and integrability of multivariable functions and evaluate various integrals (line, double, triple and surface integrals).
"
Elective,Number Theory,MTH2xx,Anuradha Sharma,4,NT,10:00-11:00$C12,,10:00-11:00$C12,,9:30-10:30$C12,Monday $2:00-3:00$C23 : Friday $10:30-11:30$LR1 :,,,"To be able to write down formal Mathematical proofs. To be able to describe properties of some special
numbertheorectic functions and their growth rates.
To be able to explain properties of numbers of some special forms.
To be able to describe complete solutions of some special Diophanti ne equationsand to be able to explain insolvability of some special non-linear Diophantineequations.To be able to explain the proof
of Lagrange's four squares theorem.To be able to explain basic theory of partitions 
To be able to explain elementary results on distributions of prime numbers
To be able to apply numbertheoretic techniques to simply computations. "
HSS Elective,Perspectives of Knowledge,HSS202,Raj Ayyar,4,PoK,4:00-5:30$C24,,4:00-5:30$C24,,,,,,"Identify the meta-issues concerning knowledge and critically reflect on them. 
Demonstrate awareness of the diversity of epistemic and sociology of knowledge traditions.
Get acquainted with a set of specific arguments, methodologies, and approaches to questions regarding knowledge.
Develop an awareness of themselves as knowledge producers in the information society."
HSS Elective,Introduction to Psychology,HSS204,Akshay Kumar,4,Psy,4:00-5:30$C01,,4:00-5:30$C01,,,,,,"Students would have learnt about concepts of General Psychology.
Students would learn about basics of how people think, feel and behave.
Students would learn the history and schools of Psychology. 
Students would be taught how to practice Mindfulness and would be able to practice it by their own. 
Students would get to learn basics concepts of therapies and some practical skills of how to practice them. 
Student would be able to practice the concepts of Cognitive behavior Therapy and be able to practically study their own thoughts and manage them.
"
HSS Elective,Theory & Practice of Engineering Ethics,HSS208,Raj Ayyar,4,TPEE,,4:00-5:30$C22,,,4:00-5:30$C22,,,,"Demonstrate a clear understanding of meta-ethical theories. 
Apply meta-ethical theories to engineering and IT scenarios.
Develop a finessed multi-perspectival understanding of moral issues. 
Evaluate moral statements and practices clearly and critically."
